R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.86250D+12 0.21196D-09 0.10000D+15   0.0000  1  160.356  0.00000  253.52  258.33    0.000   28.167   11.47
 0.87500D+12 0.22100D-09 0.10000D+15   0.0000  1  155.526  0.00000  254.32  259.03    0.000   28.575   11.45
 0.88750D+12 0.23060D-09 0.10000D+15   0.0000  1  150.696  0.00000  255.11  259.70   -0.000   28.984   11.43
 0.90000D+12 0.24082D-09 0.10000D+15   0.0000  1  145.866  0.00000  255.87  260.35    0.000   29.392   11.42
 0.91250D+12 0.25173D-09 0.10000D+15   0.0000  1  141.036  0.00000  256.62  260.97   -0.000   29.800   11.41
 0.92500D+12 0.26338D-09 0.10000D+15   0.0000  1  136.206  0.00000  257.34  261.56   -0.000   30.208   11.39
 0.93750D+12 0.27588D-09 0.10000D+15   0.0000  1  131.376  0.00000  258.06  262.12    0.000   30.617   11.39
 0.95000D+12 0.28863D-09 0.10000D+15   0.0000  1  126.868  0.00000  258.71  262.64   -0.000   31.025   11.37
 0.96250D+12 0.30304D-09 0.10000D+15   0.0000  1  122.038  0.00000  259.39  263.16   -0.000   31.433   11.37
 0.97500D+12 0.31781D-09 0.10000D+15   0.0000  1  117.530  0.00000  260.02  263.63   -0.000   31.841   11.36
 0.98750D+12 0.33373D-09 0.10000D+15   0.0000  1  113.022  0.00000  260.63  264.08   -0.000   32.249   11.35
 0.10000D+13 0.34999D-09 0.10000D+15   0.0000  1  108.836  0.00000  261.19  264.49    0.000   32.658   11.34
 0.10125D+13 0.36859D-09 0.10000D+15   0.0000  1  104.328  0.00000  261.78  264.90    0.000   33.066   11.33
 0.10250D+13 0.38767D-09 0.10000D+15   0.0000  1  100.142  0.00000  262.32  265.27   -0.000   33.474   11.32
 0.10375D+13 0.40840D-09 0.10000D+15   0.0000  1   95.956  0.00000  262.85  265.61   -0.000   33.882   11.31
 0.10500D+13 0.42957D-09 0.10000D+15   0.0000  1   92.092  0.00000  263.34  265.93    0.000   34.290   11.30
 0.10625D+13 0.45258D-09 0.10000D+15   0.0000  1   88.228  0.00000  263.81  266.23    0.000   34.699   11.29
 0.10750D+13 0.47767D-09 0.10000D+15   0.0000  1   84.364  0.00000  264.28  266.51    0.000   35.107   11.28
 0.10875D+13 0.50324D-09 0.10000D+15   0.0000  1   80.822  0.00000  264.70  266.76   -0.000   35.515   11.27
 0.11000D+13 0.53113D-09 0.10000D+15   0.0000  1   77.280  0.00000  265.12  266.99   -0.000   35.923   11.26
 0.11125D+13 0.56167D-09 0.10000D+15   0.0000  1   73.738  0.00000  265.54  267.20    0.000   36.332   11.25
 0.11250D+13 0.59267D-09 0.10000D+15   0.0000  1   70.518  0.00000  265.91  267.40    0.000   36.740   11.23
 0.11375D+13 0.62662D-09 0.10000D+15   0.0000  1   67.298  0.00000  266.28  267.57   -0.000   37.148   11.22
 0.11500D+13 0.66395D-09 0.10000D+15   0.0000  1   64.078  0.00000  266.64  267.73   -0.000   37.556   11.20
 0.11625D+13 0.70164D-09 0.10000D+15   0.0000  1   61.180  0.00000  266.96  267.87   -0.000   37.964   11.19
 0.11750D+13 0.74305D-09 0.10000D+15   0.0000  1   58.282  0.00000  267.28  268.00   -0.000   38.373   11.17
 0.11875D+13 0.78876D-09 0.10000D+15   0.0000  1   55.384  0.00000  267.60  268.10    0.000   38.781   11.15
 0.12000D+13 0.83455D-09 0.10000D+15   0.0000  1   52.808  0.00000  267.88  268.20   -0.000   39.189   11.13
 0.12125D+13 0.88501D-09 0.10000D+15   0.0000  1   50.232  0.00000  268.16  268.28    0.000   39.597   11.11
 0.12250D+13 0.93477D-09 0.10000D+15   0.0000  1   47.978  0.00000  268.40  268.36    0.000   40.006   11.09
 0.12375D+13 0.98942D-09 0.10000D+15   0.0000  1   45.724  0.00000  268.64  268.42   -0.000   40.414   11.07
 0.12500D+13 0.10497D-08 0.10000D+15   0.0000  1   43.470  0.00000  268.88  268.46   -0.000   40.822   11.04
 0.12625D+13 0.11166D-08 0.10000D+15   0.0000  1   41.216  0.00000  269.11  268.49   -0.000   41.230   11.02
 0.12750D+13 0.11816D-08 0.10000D+15   0.0000  1   39.284  0.00000  269.31  268.52    0.000   41.638   10.99
 0.12875D+13 0.12533D-08 0.10000D+15   0.0000  1   37.352  0.00000  269.51  268.54   -0.000   42.047   10.96
 0.13000D+13 0.13211D-08 0.10000D+15   0.0000  1   35.499  0.00000  269.70  270.47    0.000   42.455   10.12
 0.13125D+13 0.14083D-08 0.10000D+15   0.0000  1   33.552  0.00000  269.90  270.69   -0.000   42.863   10.01
 0.13250D+13 0.14912D-08 0.10000D+15   0.0000  1   31.914  0.00000  270.07  271.03    0.000   43.271    9.87
 0.13375D+13 0.15829D-08 0.10000D+15   0.0000  1   30.300  0.00000  270.23  271.16   -0.000   43.680    9.79
 0.13500D+13 0.16665D-08 0.10000D+15   0.0000  1   28.990  0.00000  270.37  271.45   -0.000   44.088    9.67
 0.13625D+13 0.17779D-08 0.10000D+15   0.0000  1   27.393  0.00000  270.53  271.42    0.000   44.496    9.63
 0.13750D+13 0.18802D-08 0.10000D+15   0.0000  1   26.099  0.00000  270.65  271.55    0.000   44.904    9.54
 0.13875D+13 0.19929D-08 0.10000D+15   0.0000  1   24.811  0.00000  270.78  271.63    0.000   45.312    9.47
 0.14000D+13 0.20900D-08 0.10000D+15   0.0000  1   23.830  0.00000  270.88  271.85   -0.000   45.721    9.37
 0.14125D+13 0.22256D-08 0.10000D+15   0.0000  1   22.550  0.00000  271.01  271.84   -0.000   46.129    9.31
 0.14250D+13 0.23429D-08 0.10000D+15   0.0000  1   21.577  0.00000  271.10  271.97    0.000   46.537    9.23
 0.14375D+13 0.25091D-08 0.10000D+15   0.0000  1   20.301  0.00000  271.23  271.87    0.000   46.945    9.19
 0.14500D+13 0.26537D-08 0.10000D+15   0.0000  0   19.344  0.00000  271.32  271.82   -0.000   47.354    9.84
 0.14625D+13 0.27662D-08 0.10000D+15   0.0000  0   18.680  0.00000  271.39  272.12    0.000   47.762    9.13
 0.14750D+13 0.28373D-08 0.10000D+15   0.0000  0   18.432  0.00000  271.41  268.20    0.000   48.170   18.43
 0.14875D+13 0.29110D-08 0.10000D+15   0.0000  0   18.280  0.00000  271.42  268.26    0.000   48.578   18.28
 0.15000D+13 0.29354D-08 0.10000D+15   0.0000  0   18.130  0.00000  271.44  268.33   -0.000   48.986   18.13
 0.15125D+13 0.30121D-08 0.10000D+15   0.0000  0   17.981  0.00000  271.45  268.40   -0.000   49.395   17.98
 0.15250D+13 0.30370D-08 0.10000D+15   0.0000  0   17.837  0.00000  271.47  268.47   -0.000   49.803   17.84
 0.15375D+13 0.31169D-08 0.10000D+15   0.0000  0   17.693  0.00000  271.48  268.53    0.000   50.211   17.69
 0.15500D+13 0.31423D-08 0.10000D+15   0.0000  0   17.553  0.00000  271.50  268.60    0.000   50.619   17.55
 0.15625D+13 0.31676D-08 0.10000D+15   0.0000  0   17.413  0.00000  271.51  268.67    0.000   51.028   17.41
 0.15750D+13 0.32514D-08 0.10000D+15   0.0000  0   17.278  0.00000  271.52  268.73    0.000   51.436   17.28
 0.15875D+13 0.32772D-08 0.10000D+15   0.0000  0   17.143  0.00000  271.54  268.80    0.000   51.844   17.14
 0.16000D+13 0.33647D-08 0.10000D+15   0.0000  0   17.011  0.00000  271.55  268.86   -0.000   52.252   17.01
 0.16125D+13 0.33909D-08 0.10000D+15   0.0000  0   16.882  0.00000  271.56  268.93   -0.000   52.660   16.88
 0.16250D+13 0.34172D-08 0.10000D+15   0.0000  0   16.752  0.00000  271.57  268.99    0.000   53.069   16.75
 0.16375D+13 0.35090D-08 0.10000D+15   0.0000  0   16.627  0.00000  271.59  269.05    0.000   53.477   16.63
 0.16500D+13 0.35358D-08 0.10000D+15   0.0000  0   16.502  0.00000  271.60  269.12    0.000   53.885   16.50
 0.16625D+13 0.36317D-08 0.10000D+15   0.0000  0   16.380  0.00000  271.61  269.18    0.000   54.293   16.38
 0.16750D+13 0.36590D-08 0.10000D+15   0.0000  0   16.260  0.00000  271.62  269.24   -0.000   54.702   16.26
 0.16875D+13 0.36863D-08 0.10000D+15   0.0000  0   16.140  0.00000  271.63  269.31   -0.000   55.110   16.14
 0.17000D+13 0.37871D-08 0.10000D+15   0.0000  0   16.023  0.00000  271.64  269.37   -0.000   55.518   16.02
 0.17125D+13 0.38149D-08 0.10000D+15   0.0000  0   15.908  0.00000  271.65  269.43    0.000   55.926   15.91
 0.17250D+13 0.38428D-08 0.10000D+15   0.0000  0   15.793  0.00000  271.67  269.49    0.000   56.334   15.79
 0.17375D+13 0.39488D-08 0.10000D+15   0.0000  0   15.682  0.00000  271.68  269.55    0.000   56.743   15.68
 0.17500D+13 0.39772D-08 0.10000D+15   0.0000  0   15.571  0.00000  271.69  269.61   -0.000   57.151   15.57
 0.17625D+13 0.40056D-08 0.10000D+15   0.0000  0   15.461  0.00000  271.70  269.67    0.000   57.559   15.46
 0.17750D+13 0.41172D-08 0.10000D+15   0.0000  0   15.354  0.00000  271.71  269.73    0.000   57.967   15.35
 0.17875D+13 0.41462D-08 0.10000D+15   0.0000  0   15.248  0.00000  271.72  269.79    0.000   58.376   15.25
