R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.16236D-09 0.65000D+12 0.10000D+15   0.0000  1  157.458  0.00000  254.01  254.07    5.092   25.344   13.90
 0.17115D-09 0.66250D+12 0.10000D+15   0.0000  1  151.662  0.00000  254.95  255.01    5.121   25.810   13.79
 0.18026D-09 0.67500D+12 0.10000D+15   0.0000  1  146.188  0.00000  255.82  255.87    5.134   26.261   13.68
 0.18966D-09 0.68750D+12 0.10000D+15   0.0000  1  141.036  0.00000  256.62  256.67    5.132   26.698   13.57
 0.20018D-09 0.70000D+12 0.10000D+15   0.0000  1  135.562  0.00000  257.44  257.49    5.150   27.155   13.47
 0.21061D-09 0.71250D+12 0.10000D+15   0.0000  1  130.732  0.00000  258.15  258.21    5.137   27.581   13.36
 0.22234D-09 0.72500D+12 0.10000D+15   0.0000  1  125.580  0.00000  258.89  258.94    5.146   28.028   13.26
 0.23448D-09 0.73750D+12 0.10000D+15   0.0000  1  120.750  0.00000  259.57  259.62    5.142   28.462   13.16
 0.24697D-09 0.75000D+12 0.10000D+15   0.0000  1  116.242  0.00000  260.19  260.24    5.124   28.882   13.06
 0.26044D-09 0.76250D+12 0.10000D+15   0.0000  1  111.734  0.00000  260.80  260.85    5.111   29.307   12.96
 0.27426D-09 0.77500D+12 0.10000D+15   0.0000  1  107.548  0.00000  261.36  261.41    5.085   29.718   12.86
 0.28917D-09 0.78750D+12 0.10000D+15   0.0000  1  103.362  0.00000  261.91  261.96    5.064   30.134   12.76
 0.30533D-09 0.80000D+12 0.10000D+15   0.0000  1   99.176  0.00000  262.44  262.49    5.050   30.555   12.66
 0.32185D-09 0.81250D+12 0.10000D+15   0.0000  1   95.312  0.00000  262.93  262.98    5.023   30.962   12.57
 0.33863D-09 0.82500D+12 0.10000D+15   0.0000  1   91.770  0.00000  263.37  263.43    4.981   31.355   12.47
 0.35797D-09 0.83750D+12 0.10000D+15   0.0000  1   87.906  0.00000  263.85  263.89    4.967   31.774   12.38
 0.37634D-09 0.85000D+12 0.10000D+15   0.0000  1   84.686  0.00000  264.24  264.29    4.916   32.156   12.29
 0.39762D-09 0.86250D+12 0.10000D+15   0.0000  1   81.144  0.00000  264.67  264.71    4.895   32.567   12.19
 0.41917D-09 0.87500D+12 0.10000D+15   0.0000  1   77.924  0.00000  265.05  265.09    4.859   32.961   12.10
 0.44075D-09 0.88750D+12 0.10000D+15   0.0000  1   75.026  0.00000  265.39  265.43    4.806   33.338   12.01
 0.46404D-09 0.90000D+12 0.10000D+15   0.0000  1   72.128  0.00000  265.72  265.77    4.759   33.721   11.92
 0.48926D-09 0.91250D+12 0.10000D+15   0.0000  1   69.230  0.00000  266.06  266.10    4.721   34.111   11.83
 0.51665D-09 0.92500D+12 0.10000D+15   0.0000  1   66.332  0.00000  266.39  266.42    4.690   34.509   11.74
 0.54388D-09 0.93750D+12 0.10000D+15   0.0000  1   63.756  0.00000  266.68  266.71    4.641   34.886   11.65
 0.57050D-09 0.95000D+12 0.10000D+15   0.0000  1   61.502  0.00000  266.93  266.98    4.571   35.243   11.57
 0.60226D-09 0.96250D+12 0.10000D+15   0.0000  1   58.926  0.00000  267.21  267.25    4.537   35.634   11.48
 0.63342D-09 0.97500D+12 0.10000D+15   0.0000  1   56.672  0.00000  267.46  267.50    4.482   36.004   11.40
 0.66714D-09 0.98750D+12 0.10000D+15   0.0000  1   54.418  0.00000  267.71  267.75    4.435   36.380   11.32
 0.69958D-09 0.10000D+13 0.10000D+15   0.0000  1   52.486  0.00000  267.92  267.97    4.362   36.732   11.24
 0.73903D-09 0.10125D+13 0.10000D+15   0.0000  1   50.232  0.00000  268.16  268.20    4.332   37.123   11.15
 0.77711D-09 0.10250D+13 0.10000D+15   0.0000  1   48.300  0.00000  268.37  268.40    4.275   37.489   11.07
 0.81286D-09 0.10375D+13 0.10000D+15   0.0000  1   46.690  0.00000  268.54  268.59    4.190   37.825   10.99
 0.85709D-09 0.10500D+13 0.10000D+15   0.0000  1   44.758  0.00000  268.74  268.78    4.149   38.205   10.91
 0.89872D-09 0.10625D+13 0.10000D+15   0.0000  1   43.148  0.00000  268.91  268.96    4.078   38.554   10.83
 0.94355D-09 0.10750D+13 0.10000D+15   0.0000  1   41.538  0.00000  269.08  269.13    4.014   38.910   10.76
 0.99198D-09 0.10875D+13 0.10000D+15   0.0000  1   39.928  0.00000  269.25  269.29    3.958   39.273   10.68
 0.10445D-08 0.11000D+13 0.10000D+15   0.0000  1   38.318  0.00000  269.41  269.45    3.910   39.644   10.60
 0.10922D-08 0.11125D+13 0.10000D+15   0.0000  1   37.030  0.00000  269.55  269.59    3.826   39.978   10.53
 0.11433D-08 0.11250D+13 0.10000D+15   0.0000  1   35.742  0.00000  269.68  269.73    3.748   40.318   10.46
 0.11982D-08 0.11375D+13 0.10000D+15   0.0000  1   34.454  0.00000  269.81  269.87    3.676   40.664   10.39
 0.12574D-08 0.11500D+13 0.10000D+15   0.0000  1   33.166  0.00000  269.94  270.00    3.613   41.017   10.31
 0.13213D-08 0.11625D+13 0.10000D+15   0.0000  1   31.878  0.00000  270.07  270.12    3.558   41.379   10.24
 0.13906D-08 0.11750D+13 0.10000D+15   0.0000  1   30.590  0.00000  270.20  270.24    3.512   41.748   10.17
 0.14503D-08 0.11875D+13 0.10000D+15   0.0000  1   29.624  0.00000  270.30  270.35    3.417   42.069   10.10
 0.15140D-08 0.12000D+13 0.10000D+15   0.0000  1   28.658  0.00000  270.40  270.45    3.327   42.395   10.03
 0.15822D-08 0.12125D+13 0.10000D+15   0.0000  1   27.692  0.00000  270.50  270.56    3.244   42.728    9.97
 0.16552D-08 0.12250D+13 0.10000D+15   0.0000  1   26.726  0.00000  270.59  270.65    3.168   43.066    9.90
 0.17337D-08 0.12375D+13 0.10000D+15   0.0000  1   25.760  0.00000  270.69  270.75    3.100   43.412    9.83
 0.18183D-08 0.12500D+13 0.10000D+15   0.0000  1   24.794  0.00000  270.78  270.84    3.039   43.766    9.77
 0.19098D-08 0.12625D+13 0.10000D+15   0.0000  1   23.828  0.00000  270.88  270.92    2.988   44.127    9.70
 0.19815D-08 0.12750D+13 0.10000D+15   0.0000  1   23.184  0.00000  270.94  271.01    2.869   44.422    9.64
 0.20866D-08 0.12875D+13 0.10000D+15   0.0000  1   22.218  0.00000  271.04  271.08    2.833   44.800    9.57
 0.21688D-08 0.13000D+13 0.10000D+15   0.0000  1   21.574  0.00000  271.10  271.16    2.726   45.106    9.51
 0.22561D-08 0.13125D+13 0.10000D+15   0.0000  1   20.930  0.00000  271.17  271.23    2.624   45.417    9.46
 0.23863D-08 0.13250D+13 0.10000D+15   0.0000  1   19.964  0.00000  271.26  271.30    2.617   45.821    9.38
 0.24881D-08 0.13375D+13 0.10000D+15   0.0000  1   19.320  0.00000  271.32  271.36    2.529   46.147    9.33
 0.25969D-08 0.13500D+13 0.10000D+15   0.0000  1   18.676  0.00000  271.39  271.43    2.449   46.478    9.27
 0.26664D-08 0.13625D+13 0.10000D+15   0.0000  1   18.354  0.00000  271.42  271.50    2.276   46.718    9.22
 0.26908D-08 0.13750D+13 0.10000D+15   0.0000  1   18.354  0.00000  271.42  271.58    2.005   46.862    9.19
 0.27153D-08 0.13875D+13 0.10000D+15   0.0000  1   18.354  0.00000  271.42  271.66    1.734   47.006    9.17
 0.27397D-08 0.14000D+13 0.10000D+15   0.0000  1   18.354  0.00000  271.42  271.75    1.463   47.149    9.14
 0.27642D-08 0.14125D+13 0.10000D+15   0.0000  1   18.354  0.00000  271.42  271.83    1.191   47.292    9.11
 0.27412D-08 0.14250D+13 0.10000D+15   0.0000  1   18.676  0.00000  271.39  271.92    0.822   47.339    9.10
 0.27652D-08 0.14375D+13 0.10000D+15   0.0000  1   18.676  0.00000  271.39  272.00    0.550   47.482    9.07
 0.27892D-08 0.14500D+13 0.10000D+15   0.0000  1   18.676  0.00000  271.39  272.08    0.278   47.625    9.04
 0.28133D-08 0.14625D+13 0.10000D+15   0.0000  1   18.676  0.00000  271.39  272.16    0.006   47.768    9.02
 0.16282D-08 0.14750D+13 0.10000D+15   0.0000  1   32.844  0.00000  269.98  270.06   -3.112   45.188   10.07
 0.16741D-08 0.14875D+13 0.10000D+15   0.0000  1   32.200  0.00000  270.04  270.11   -3.323   45.391   10.03
 0.17219D-08 0.15000D+13 0.10000D+15   0.0000  1   31.556  0.00000  270.11  270.17   -3.534   45.594   10.00
 0.17717D-08 0.15125D+13 0.10000D+15   0.0000  1   30.912  0.00000  270.17  270.22   -3.746   45.796    9.96
 0.18048D-08 0.15250D+13 0.10000D+15   0.0000  1   30.590  0.00000  270.20  270.30   -3.966   45.991    9.92
 0.18579D-08 0.15375D+13 0.10000D+15   0.0000  1   29.946  0.00000  270.27  270.34   -4.179   46.191    9.89
 0.19134D-08 0.15500D+13 0.10000D+15   0.0000  1   29.302  0.00000  270.33  270.38   -4.392   46.391    9.85
 0.19499D-08 0.15625D+13 0.10000D+15   0.0000  1   28.980  0.00000  270.37  270.46   -4.614   46.584    9.82
 0.20093D-08 0.15750D+13 0.10000D+15   0.0000  1   28.336  0.00000  270.43  270.49   -4.828   46.782    9.78
