R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+16   0.0000  1   50.60   43.152  0.00000  268.91  257.15  268.91   13.151   12.434   29.82  1503.37
 0.12500D+11 0.10000D+16   0.0000  1   56.21   47.760  0.00000  268.42  257.01  268.42   13.233   12.844   32.33  1503.33
 0.25000D+11 0.10000D+16   0.0000  1   52.51   44.668  0.00000  268.75  257.67  268.75   13.176   13.250   31.47  1503.38
 0.37500D+11 0.10000D+16   0.0000  1   49.00   41.722  0.00000  269.06  258.29  269.06   13.123   13.656   30.65  1503.44
 0.50000D+11 0.10000D+16   0.0000  1   45.65   38.924  0.00000  269.35  258.88  269.35   13.073   14.062   29.87  1503.50
 0.62500D+11 0.10000D+16   0.0000  1   42.49   36.273  0.00000  269.63  259.43  269.63   13.025   14.468   29.13  1503.56
 0.75000D+11 0.10000D+16   0.0000  1   39.50   33.770  0.00000  269.88  259.95  269.88   12.980   14.874   28.42  1503.63
 0.87500D+11 0.10000D+16   0.0000  1   36.76   31.475  0.00000  270.11  260.43  270.11   12.933   15.274   27.75  1503.70
 0.10000D+12 0.10000D+16   0.0000  0   37.30   30.947  0.00000  270.17  260.75  270.17   12.909   15.668   30.95  1503.76
 0.11250D+12 0.10000D+16   0.0000  0   36.79   30.524  0.00000  270.21  261.05  270.21   12.901   16.076   30.52  1503.81
 0.12500D+12 0.10000D+16   0.0000  0   36.29   30.113  0.00000  270.25  261.35  270.25   12.894   16.484   30.11  1503.87
 0.13750D+12 0.10000D+16   0.0000  0   35.81   29.712  0.00000  270.29  261.64  270.29   12.887   16.892   29.71  1503.92
 0.15000D+12 0.10000D+16   0.0000  0   35.34   29.322  0.00000  270.33  261.93  270.33   12.881   17.300   29.32  1503.96
 0.16250D+12 0.10000D+16   0.0000  0   34.88   28.942  0.00000  270.37  262.20  270.37   12.874   17.708   28.94  1504.00
 0.17500D+12 0.10000D+16   0.0000  0   34.43   28.571  0.00000  270.41  262.48  270.41   12.868   18.116   28.57  1504.04
 0.18750D+12 0.10000D+16   0.0000  0   34.00   28.209  0.00000  270.44  262.74  270.44   12.862   18.524   28.21  1504.08
 0.20000D+12 0.10000D+16   0.0000  0   33.57   27.857  0.00000  270.48  263.01  270.48   12.856   18.932   27.86  1504.12
 0.21250D+12 0.10000D+16   0.0000  0   33.16   27.513  0.00000  270.51  263.26  270.51   12.850   19.341   27.51  1504.15
 0.22500D+12 0.10000D+16   0.0000  0   32.75   27.178  0.00000  270.55  263.51  270.55   12.844   19.749   27.18  1504.18
 0.23750D+12 0.10000D+16   0.0000  0   32.36   26.850  0.00000  270.58  263.76  270.58   12.838   20.157   26.85  1504.21
 0.25000D+12 0.10000D+16   0.0000  0   31.97   26.530  0.00000  270.61  264.00  270.61   12.833   20.565   26.53  1504.23
 0.26250D+12 0.10000D+16   0.0000  0   31.60   26.218  0.00000  270.64  264.24  270.64   12.828   20.973   26.22  1504.26
 0.27500D+12 0.10000D+16   0.0000  0   31.23   25.913  0.00000  270.67  264.48  270.67   12.822   21.381   25.91  1504.28
 0.28750D+12 0.10000D+16   0.0000  0   30.87   25.614  0.00000  270.70  264.71  270.70   12.817   21.789   25.61  1504.30
 0.30000D+12 0.10000D+16   0.0000  0   30.52   25.323  0.00000  270.73  264.93  270.73   12.812   22.197   25.32  1504.32
